wID	word	lemma	PoS	
-----	-----	-----	-----

1	,	$,	y
2	de	de	e
3	.	$.	y
4	la	la	ld-fs
5	y	y	cc
6	en	en	e
7	el	el	ld-ms
8	a	a	e
9	que	que	cs
10	que	que	cs
11	el	el	ld-ms
12	los	el	ld-mp
14	un	un	li-ms
15	se	se	po
16	no	no	r
17	es	ser	vip-3s
18	de	de	e
19	con	con	e
20	las	la	ld-fp
21	por	por	e
22	una	un	li-fs
23	para	para	e
24	su	su	dp-
25	)	par-r	y
26	:	$:	y
27	o	o	cc
28	(	par-l	y
29	a	a	e
30	-	hyfen	y
31	?	$?	y
32	más	más	r
33	me	yo	po
34	El	el	ld-ms
35	como	como	e
36	pero	pero	cc
37	sus	su	dp-
38	La	la	ld-fs
39	que	que	cs
40	si	si	cs
41	este	este	dd-
42	se	se	po
43	lo	lo	po
44	le	le	po
45	ha	haber	v
46	¿	$¿	y
47	!	$!	y
48	esta	este	dd-
49	;	$;	y
50	como	como	r
51	En	en	e
52	son	ser	vip-3p
53	mi	mi	dp-
54	que	que	cS_22
55	lo	lo	po
56	nos	nosotros	po
57	muy	muy	r
58	porque	porque	cs
59	sobre	sobre	e
60	cuando	cuándo	r
61	ser	ser	vr
62	de	de	e
63	te	tu	po
64	ya	ya	r
65	también	también	r
66	puede	poder	vip-3s
67	lo	lo	ld
68	años	año	nmp    
69	de	de	e
70	se	se	po
71	entre	entre	e
72	Y	y	cc
73	sin	sin	e
74	vida	vida	nfs    
75	tu	tu	dp-
76	tiene	tener	vip-3s
77	No	no	r
78	hay	haber	v
79	más	más	j
80	hacer	hacer	vr
81	está	estar	vip-3s
82	han	haber	v
83	donde	dónde	r
84	eso	ese	pd-3cs
85	lo	lo	po
86	Los	el	ld-mp
87	dos	dos	mc
88	ni	ni	cc
89	yo	yo	ps
90	desde	desde	e
91	la	la	ld-fs
92	de	de	e
93	ese	ese	dd-
94	tiempo	tiempo	nms    
95	mundo	mundo	nms    
96	Es	ser	vip-3s
97	personas	persona	nfp    
98	era	ser	vii-1/3s
99	'	$'	y
100	día	día	nms    
101	Si	si	cs
102	otros	otro	dxmp-ind-
103	algo	algo	pi-0cn
104	e	y	cc
105	Pero	pero	cc
106	uno	uno	pi-0ms
107	les	le	po
108	siempre	siempre	r
109	bien	bien	r
110	parte	parte	nms    
111	forma	forma	nfs    
112	fue	ser	vis-3s
113	esa	ese	dd-
114	para	para	cS_21
115	todo	todo	dxms-ind-
116	esto	esto	pd-3cs
117	#	$#	y
118	país	país	nms    
119	hace	hacer	vip-3s
120	lo	lo	po
121	mas	mas	cc
122	año	año	nms    
123	cosas	cosa	nfp    
124	tan	tan	r
125	otro	otro	dxms-ind-
126	hasta	hasta	e
127	tener	tener	vr
128	en	en	r
129	los	el	ld-mp
130	todos	todo	dxmp-ind-
131	ver	ver	vr
132	nada	nada	pi
133	a	a	e
134	Por	por	e
135	cada	cada	dxcs-ind-
136	todos	todo	dxmp-ind-
137	estos	este	dd-
138	sólo	sólo	r
139	ellos	él	ps
140	mejor	mejor	j
141	trabajo	trabajo	nms    
142	una	uno	mc
143	la	el	ld-fs
144	los	el	ld-mp
145	sea	ser	vsp-1/3s
